Job Function,Easy Apply,Overall Rating,Compensation & Benefit,Culture & Value,Career Opportunitie,Work/Life Balanc,Founded,Job Age in Hours,Estimated Salary
Hr Analyst,1.0,3.4,3.2,3.2,2.6,3.7,1964.0,552.0,73000.0
Risk Analyst,1.0,3.7,3.0,3.7,2.9,4.1,2002.0,24.0,61000.0
Quantitative Analyst,0.3333333333333333,3.3333333333333335,3.3000000000000003,3.1666666666666665,3.0666666666666664,3.3666666666666667,1927.6666666666667,528.0,89333.33333333333
Analyst,1.0,3.9,3.9,4.1,3.1,3.4,1970.0,96.0,79500.0
Environmental Engineer,0.0,3.7,3.1,3.4,3.2,3.5,1906.0,384.0,54500.0
Actuarial Analyst,0.0,3.7,3.7,3.6,3.2,3.9,1861.0,24.0,106500.0
Bi Engineer,0.0,3.5,4.0,3.8,3.3,4.1,2011.0,72.0,70500.0
Project Scientist,1.0,3.4,3.3,3.1,3.4,3.7,,144.0,75000.0
Bi Analyst,0.5833333333333334,3.6666666666666665,3.6166666666666667,3.6583333333333328,3.4333333333333336,3.7083333333333335,1985.857142857143,308.0,71291.66666666667
Financial Data Analyst,0.0,3.8,3.1,4.0,3.5,3.7,1990.0,552.0,78500.0
Data Analyst,0.4482758620689655,3.817241379310345,3.5155172413793103,3.8189655172413777,3.522413793103449,3.8034482758620696,1964.4893617021276,283.0344827586207,69698.27586206897
Data Manager,0.0,3.8,3.7,3.9,3.6,3.9,2000.0,552.0,88500.0
Business Analyst,0.0,3.9,3.533333333333333,3.7999999999999994,3.6,3.6666666666666665,1904.6666666666667,264.0,57666.666666666664
Data Scientist,0.2727272727272727,3.872727272727273,3.6166666666666663,3.8181818181818183,3.624242424242423,3.7363636363636346,1966.6315789473683,328.72727272727275,98204.54545454546
Data Modeler,0.0,3.8499999999999996,3.5,3.8499999999999996,3.65,3.65,1894.0,408.0,73750.0
Research Scientist,0.5,4.05,3.7249999999999996,4.025,3.7,3.9000000000000004,1929.25,336.0,84500.0
Reporting Analyst,1.0,4.3,3.5,4.2,3.7,4.2,1978.0,456.0,79000.0
Product Manager,0.0,4.02,3.9200000000000004,3.96,3.7600000000000002,3.7600000000000002,1939.4,278.4,108400.0
Materials Scientist,0.0,3.8,3.9,3.6,3.8,3.2,1994.0,120.0,154500.0
Enterprise Architect,1.0,4.2,3.4,4.0,3.8,3.6,1992.0,144.0,124500.0
Data Engineer,0.38636363636363635,4.020454545454547,3.779545454545456,4.009090909090909,3.861363636363636,3.797727272727272,1978.7101449275362,305.45454545454544,95465.90909090909
Software Developer,0.6666666666666666,4.199999999999999,3.6666666666666665,4.333333333333333,3.8666666666666667,4.066666666666666,1945.0,280.0,74666.66666666667
Clinical Laboratory Scientist,1.0,3.9,3.7,3.8,3.9,3.6,1996.0,96.0,90000.0
Strategy Manager,0.0,4.1,3.6,3.9,4.0,3.2,1989.0,456.0,135000.0
Database Architect,0.0,4.0,3.5,3.9,4.0,3.1,1919.5,396.0,85500.0
Analytics Consultant,0.3333333333333333,4.1000000000000005,3.8333333333333335,4.166666666666667,4.0,3.8000000000000003,1915.6666666666667,368.0,75500.0
Technical Manager,0.0,4.1,3.6,4.3,4.1,3.7,2012.0,240.0,126500.0
Machine Learning Engineer,0.15384615384615385,4.246153846153845,3.776923076923077,4.1923076923076925,4.138461538461539,3.961538461538461,1982.090909090909,252.92307692307693,104653.84615384616
Data Consultant,0.0,4.2749999999999995,3.9749999999999996,4.175,4.15,3.7249999999999996,1994.5,276.0,78625.0
Quantitative Researcher,1.0,4.4,4.1,4.2,4.3,3.9,2012.0,432.0,101000.0
