Location,Easy Apply,Overall Rating,Compensation & Benefit,Culture & Value,Career Opportunitie,Work/Life Balanc,Founded,Job Age in Hours,Estimated Salary
Goderich,1.0,4.5,5.0,5.0,5.0,5.0,,168.0,45500.0
Thornhill,0.0,3.8,3.8,3.9,3.5,3.5,1903.0,480.0,58000.0
Essex,0.0,4.0,3.4,4.4,3.6,4.3,,456.0,62500.0
Collingwood,1.0,2.9,2.8,2.2,2.2,2.7,,120.0,63000.0
Kingsville,0.0,2.9,2.8,2.5,2.6,2.8,1954.0,168.0,63000.0
London,0.4,3.8,3.7800000000000002,3.6399999999999997,3.5599999999999996,3.6599999999999993,1944.3333333333333,283.2,67600.0
Stoney Creek,1.0,3.2,3.6,3.5,3.4,3.4,,432.0,68500.0
Petrolia,0.0,3.7,3.5,3.4,3.2,3.5,1937.0,24.0,69500.0
North Bay,0.0,3.5,4.0,3.8,3.3,4.1,2011.0,72.0,70500.0
Oakville,0.3333333333333333,3.733333333333333,3.4,3.8333333333333335,3.6333333333333333,3.6333333333333333,1955.0,320.0,72000.0
Waterloo,0.2857142857142857,3.9285714285714284,3.657142857142857,3.8999999999999995,3.6285714285714286,3.8285714285714287,1941.4285714285713,384.0,74857.14285714286
Burlington,0.0,4.0,3.9,4.1,3.7,4.1,1968.0,120.0,75500.0
North York,0.6666666666666666,3.8666666666666667,3.3333333333333335,3.6999999999999997,3.5,3.6999999999999997,1944.3333333333333,104.0,75833.33333333333
Etobicoke,0.0,3.45,3.3,3.5,2.95,3.35,1941.0,396.0,79500.0
Mississauga,0.2631578947368421,3.905263157894736,3.4894736842105267,3.905263157894738,3.594736842105263,3.5842105263157893,1967.2777777777778,271.57894736842104,81815.78947368421
Richmond Hill,0.0,3.6,2.9,3.5,3.2,3.5,1991.0,576.0,83500.0
Whitby,0.0,4.0,3.8,4.3,4.1,4.1,2008.0,120.0,85000.0
Kanata,0.0,4.0,2.0,5.0,5.0,3.0,,264.0,85000.0
Brampton,0.4,3.8733333333333335,3.44,3.746666666666667,3.666666666666667,3.673333333333333,1979.0,316.8,85233.33333333333
Scarborough Township,0.0,3.9,3.6,4.1,3.7,3.8,1998.0,408.0,85500.0
Aurora,1.0,3.5,3.3,3.8,3.7,4.3,,48.0,85500.0
Ottawa,0.3333333333333333,3.9133333333333336,3.5933333333333333,3.953333333333333,3.7600000000000002,3.8466666666666667,1985.0,406.4,89933.33333333333
Don Mills,0.0,3.8333333333333335,3.8333333333333335,3.533333333333333,3.9,3.466666666666667,1970.0,416.0,90666.66666666667
Kitchener,0.5,4.35,4.4,4.35,4.05,4.6,2016.0,240.0,91750.0
Midtown Toronto,0.3806818181818182,3.9755681818181814,3.7079545454545455,3.9488636363636336,3.7556818181818197,3.79943181818182,1973.2322580645161,297.27272727272725,91767.04545454546
Toronto,0.3333333333333333,4.044444444444444,3.8999999999999995,3.988888888888889,3.933333333333333,3.933333333333334,1936.875,349.3333333333333,93111.11111111111
Markham,0.3333333333333333,3.5,3.5555555555555554,3.4222222222222225,3.033333333333333,3.8333333333333335,1895.0,336.0,107111.11111111111
Guelph,0.0,5.0,4.0,5.0,4.0,3.0,,480.0,114000.0
